Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Code No,Level,Job Category,Full-Time/Part-Time indicator,Salary Range From,Salary Range To,Salary Frequency,Work Location,Division/Work Unit,Residency Requirement,Posting Date,Post Until,Posting Updated,Process Date
151937,NYC HOUSING AUTHORITY,External,4,Assistant Project Manager,ASSOCIATE PROJECT MANAGER,22427,2,"Engineering, Architecture, & Planning",F,62942,92249,Annual,Office for Exec Proj Manager,Project Mgmt Dept Team 3,NYCHA has no residency requirements.,2014-08-16T00:00:00.000,,2014-09-30T00:00:00.000,2019-07-30T00:00:00.000
152738,LAW DEPARTMENT,Internal,1,Office Manager,CLERICAL ASSOCIATE,10251,3,Clerical & Administrative Support,F,30683,49707,Annual,"100 Church St., N.Y.",Appeals,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2014-06-26T00:00:00.000,,2014-06-26T00:00:00.000,2019-07-30T00:00:00.000
160910,DEPT OF INFO TECH & TELECOMM,Internal,1,"Deputy Director, Audits and Accounts",ADM MANAGER-NON-MGRL FRM M1/M2,1002C,0,"Finance, Accounting, & Procurement",F,49492,60000,Annual,75 Park Place New York Ny,Financial Services,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2014-08-21T00:00:00.000,,2014-08-21T00:00:00.000,2019-07-30T00:00:00.000
167179,NYC EMPLOYEES RETIREMENT SYS,External,1,"CERTIFIED IT ADMINISTRATOR (WAN), Level 4",CERT. IT ADMINISTRATOR WAN,13642,4,Information Technology & Telecommunications,F,87203,131623,Annual,"335 Adams Street, Brooklyn Ny",Executive Management,New York City Residency is not required for this position  NYCERS is an Equal Opportunity Employer  M/F/H/V,2014-11-19T00:00:00.000,,2014-11-19T00:00:00.000,2019-07-30T00:00:00.000
167179,NYC EMPLOYEES RETIREMENT SYS,Internal,1,"CERTIFIED IT ADMINISTRATOR (WAN), Level 4",CERT. IT ADMINISTRATOR WAN,13642,4,Information Technology & Telecommunications,F,87203,131623,Annual,"335 Adams Street, Brooklyn Ny",Executive Management,New York City Residency is not required for this position  NYCERS is an Equal Opportunity Employer  M/F/H/V,2014-11-19T00:00:00.000,,2014-11-19T00:00:00.000,2019-07-30T00:00:00.000
170989,OFFICE OF COLLECTIVE BARGAININ,Internal,1,COLLEGE AIDE - CLERICAL,COLLEGE AIDE (ALL CITY DEPTS),10209,1,Clerical & Administrative Support,P,8.75,10.36,Hourly,100 Gold Street,Administration,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2014-10-09T00:00:00.000,,2014-10-16T00:00:00.000,2019-07-30T00:00:00.000
170989,OFFICE OF COLLECTIVE BARGAININ,External,1,COLLEGE AIDE - CLERICAL,COLLEGE AIDE (ALL CITY DEPTS),10209,1,Clerical & Administrative Support,P,8.75,10.36,Hourly,100 Gold Street,Administration,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2014-10-09T00:00:00.000,,2014-10-16T00:00:00.000,2019-07-30T00:00:00.000
171040,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Clerical Associate, Bureau of Communicable Diseases",CLERICAL ASSOCIATE,10251,3,Clerical & Administrative Support,F,32086,51981,Annual,42-09 28th Street,Communicable Diseases,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2014-10-08T00:00:00.000,,2014-10-08T00:00:00.000,2019-07-30T00:00:00.000
171944,DEPT OF INFO TECH & TELECOMM,Internal,1,"Deputy Director, Audits and Accounts",COMPUTER ASSOC (TECH SUPP),13611,1,"Finance, Accounting, & Procurement Information Technology & Telecommunications",,43292,53000,Annual,75 Park Place New York Ny,Financial Services,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2014-10-30T00:00:00.000,,2014-10-30T00:00:00.000,2019-07-30T00:00:00.000
172053,DEPT OF INFO TECH & TELECOMM,Internal,1,311 Call Center Manager,ADM MANAGER-NON-MGRL FRM M1/M2,1002C,0,Community & Business Services,F,49492,69000,Annual,59 Maiden Lane,311 Operations,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2014-10-21T00:00:00.000,,2014-10-21T00:00:00.000,2019-07-30T00:00:00.000
175362,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Clerical Associate, Bureau of Vital Statistics",CLERICAL ASSOCIATE,10251,3,Clerical & Administrative Support,F,32086,51981,Annual,"125 Worth Street, Nyc",Vital Statistics/Vital Recor,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2014-11-18T00:00:00.000,,2014-11-18T00:00:00.000,2019-07-30T00:00:00.000
177048,DEPT OF INFO TECH & TELECOMM,Internal,1,Application Support Reporting Specialist,COMPUTER SPECIALIST (SOFTWARE),13632,3,Information Technology & Telecommunications,,81290,95896,Annual,2 Metro Tech,Develop & Integration Services,New York City Residency is not required for this position,2014-12-02T00:00:00.000,,2014-12-02T00:00:00.000,2019-07-30T00:00:00.000
181479,DEPT OF HEALTH/MENTAL HYGIENE,External,1,Audits & Accounts Analyst,PRINCIPAL ADMINISTRATIVE ASSOC,10124,2,"Finance, Accounting, & Procurement",F,44735,55000,Annual,421 East 26th Street NY NY,OCME-Admin,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-01-16T00:00:00.000,,2015-01-16T00:00:00.000,2019-07-30T00:00:00.000
181479,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,Audits & Accounts Analyst,PRINCIPAL ADMINISTRATIVE ASSOC,10124,2,"Finance, Accounting, & Procurement",F,44735,55000,Annual,421 East 26th Street NY NY,OCME-Admin,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-01-16T00:00:00.000,,2015-01-16T00:00:00.000,2019-07-30T00:00:00.000
183112,DEPT OF INFO TECH & TELECOMM,Internal,1,GIS Analyst,COMPUTER PROGRAMMER ANALYST,13651,1,Information Technology & Telecommunications,F,45174,62370,Annual,2 Metro Tech,Develop & Integration Services,New York City Residency is not required for this position,2015-02-12T00:00:00.000,,2015-02-12T00:00:00.000,2019-07-30T00:00:00.000
183500,LAW DEPARTMENT,Internal,1,Facilities Central Supervisor,CLERICAL ASSOCIATE,10251,3,Clerical & Administrative Support,F,32086,51981,Annual,"100 Church St., N.Y.",Admin Services,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-02-20T00:00:00.000,,2015-02-20T00:00:00.000,2019-07-30T00:00:00.000
184328,DEPT OF INFO TECH & TELECOMM,Internal,1,"Director, Infrastructure Build Coordinator",COMPUTER SYSTEMS MANAGER,10050,M1,Information Technology & Telecommunications,,49492,100000,Annual,2 Metro Tech,Public Safety IT Services,New York City Residency is not required for this position,2015-02-19T00:00:00.000,,2015-02-19T00:00:00.000,2019-07-30T00:00:00.000
185056,LAW DEPARTMENT,Internal,3,Paralegal Aide,PARALEGAL AIDE,30080,2,Clerical & Administrative Support Legal,F,38089,53300,Annual,"100 Church St., N.Y.",Family Court: New York,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-03-16T00:00:00.000,,2015-05-20T00:00:00.000,2019-07-30T00:00:00.000
187049,NYC HOUSING AUTHORITY,Internal,3,HIGH PRESSURE PLANT TENDER,HIGH PRESSURE PLANT TENDER,91650,0,Maintenance & Operations,F,65458.8,65458.8,Annual,Heating Mgt-Operations,Technical Services Department,NYCHA has no residency requirements.,2015-04-15T00:00:00.000,,2015-12-08T00:00:00.000,2019-07-30T00:00:00.000
187049,NYC HOUSING AUTHORITY,External,3,HIGH PRESSURE PLANT TENDER,HIGH PRESSURE PLANT TENDER,91650,0,Maintenance & Operations,F,65458.8,65458.8,Annual,Heating Mgt-Operations,Technical Services Department,NYCHA has no residency requirements.,2015-04-15T00:00:00.000,,2015-12-08T00:00:00.000,2019-07-30T00:00:00.000
187714,ADMIN FOR CHILDREN'S SVCS,External,1,Network Engineer I LAN/WAN,CERTIFIED IT ADMINISTRATOR LAN,13641,1,Information Technology & Telecommunications,F,72260,98163,Annual,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt",New York City Residency is not required for this position,2015-03-30T00:00:00.000,,2015-04-08T00:00:00.000,2019-07-30T00:00:00.000
187714,ADMIN FOR CHILDREN'S SVCS,Internal,1,Network Engineer I LAN/WAN,CERTIFIED IT ADMINISTRATOR LAN,13641,1,Information Technology & Telecommunications,F,72260,98163,Annual,"150 William Street, New York N","Mis Admin,Network Sysms Dvlpmt",New York City Residency is not required for this position,2015-03-30T00:00:00.000,,2015-04-08T00:00:00.000,2019-07-30T00:00:00.000
192723,DEPT OF INFO TECH & TELECOMM,Internal,1,Research Assistant,RESEARCH ASSISTANT,60910,0,Clerical & Administrative Support Legal,F,40055,60611,Annual,75 Park Place New York Ny,General Counsel,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-05-18T00:00:00.000,,2015-05-18T00:00:00.000,2019-07-30T00:00:00.000
192756,DEPARTMENT OF TRANSPORTATION,External,1,Systems Administrator - Computer Software,CERTIFIED IT ADMINISTRATOR LAN,13641,3,Information Technology & Telecommunications,F,81290,114954,Annual,55 Water St Ny Ny,IT & Telecom,New York City Residency is not required for this position,2015-05-11T00:00:00.000,,2015-07-27T00:00:00.000,2019-07-30T00:00:00.000
192756,DEPARTMENT OF TRANSPORTATION,Internal,1,Systems Administrator - Computer Software,CERTIFIED IT ADMINISTRATOR LAN,13641,3,Information Technology & Telecommunications,F,81290,114954,Annual,55 Water St Ny Ny,IT & Telecom,New York City Residency is not required for this position,2015-05-11T00:00:00.000,,2015-07-27T00:00:00.000,2019-07-30T00:00:00.000
193109,DEPT OF INFO TECH & TELECOMM,Internal,1,311 Call Center Manager,ADM MANAGER-NON-MGRL FRM M1/M2,1002C,0,Clerical & Administrative Support Community & Business Services,F,53373,72000,Annual,59 Maiden Lane,311 Operations,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-05-11T00:00:00.000,,2015-05-11T00:00:00.000,2019-07-30T00:00:00.000
195805,ADMIN FOR CHILDREN'S SVCS,Internal,2,Tracking and Monitoring Data Analyst,ASSOCIATE STAFF ANALYST,12627,0,Social Services,F,59536,88649,Annual,"66 John Street, New York, Ny",Headstart (ECE),"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-05-29T00:00:00.000,,2015-06-16T00:00:00.000,2019-07-30T00:00:00.000
195805,ADMIN FOR CHILDREN'S SVCS,External,2,Tracking and Monitoring Data Analyst,ASSOCIATE STAFF ANALYST,12627,0,Social Services,F,59536,88649,Annual,"66 John Street, New York, Ny",Headstart (ECE),"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-05-29T00:00:00.000,,2015-06-16T00:00:00.000,2019-07-30T00:00:00.000
197316,DEPT OF INFO TECH & TELECOMM,Internal,4,311 Escalation Line Team Leader,ASSOCIATE CALL CENTER REPRESEN,10271,1,Community & Business Services,F,43118,49586,Annual,59 Maiden Lane,311 Operations,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-07-22T00:00:00.000,,2015-07-22T00:00:00.000,2019-07-30T00:00:00.000
197355,DEPT OF ENVIRONMENT PROTECTION,Internal,1,"Deputy Commissioner, Wastewater Treatment",ADMINISTRATIVE ENGINEER,10015,M7,"Engineering, Architecture, & Planning Maintenance & Operations",F,198518,198518,Annual,96-05 Horace Harding Expway,Administration,New York City Residency is not required for this position,2015-06-23T00:00:00.000,,2015-06-23T00:00:00.000,2019-07-30T00:00:00.000
197355,DEPT OF ENVIRONMENT PROTECTION,External,1,"Deputy Commissioner, Wastewater Treatment",ADMINISTRATIVE ENGINEER,10015,M7,"Engineering, Architecture, & Planning Maintenance & Operations",F,198518,198518,Annual,96-05 Horace Harding Expway,Administration,New York City Residency is not required for this position,2015-06-23T00:00:00.000,,2015-06-23T00:00:00.000,2019-07-30T00:00:00.000
197941,DEPT OF HEALTH/MENTAL HYGIENE,External,5,Public Health Nurse (School Health),PUBLIC HEALTH NURSE (SCHOOL HE,51022,1,Health,P,32.11,36.93,Hourly,R E DEV FOR Preservation,SH Reproductive Health,New York City Residency is not required for this position,2015-07-01T00:00:00.000,,2015-08-28T00:00:00.000,2019-07-30T00:00:00.000
197941,DEPT OF HEALTH/MENTAL HYGIENE,Internal,5,Public Health Nurse (School Health),PUBLIC HEALTH NURSE (SCHOOL HE,51022,1,Health,P,32.11,36.93,Hourly,R E DEV FOR Preservation,SH Reproductive Health,New York City Residency is not required for this position,2015-07-01T00:00:00.000,,2015-08-28T00:00:00.000,2019-07-30T00:00:00.000
199170,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Public Health Advisor, Bureau of Sexually Transmitted Diseases Prevention and Control",PUBLIC HEALTH ADVISER,51191,2,Health,F,41452,52821,Annual,R E DEV FOR Preservation,STI Case Invstgn & Partner Srv,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-07-10T00:00:00.000,,2015-07-10T00:00:00.000,2019-07-30T00:00:00.000
199768,DEPT OF INFO TECH & TELECOMM,Internal,1,Payroll Supervisor,COMMUNITY ASSOCIATE,56057,0,Clerical & Administrative Support,,33799,56249,Annual,75 Park Place New York Ny,Human Resources,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-07-14T00:00:00.000,,2015-07-14T00:00:00.000,2019-07-30T00:00:00.000
203387,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Public Health Advisor, Bureau of STD Prevention and Control",PUBLIC HEALTH ADVISER,51191,1,Health,P,18.8112,24.2923,Hourly,295 Flatbush Ext Brooklyn,STI Special Projects,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-08-03T00:00:00.000,,2015-08-03T00:00:00.000,2019-07-30T00:00:00.000
209609,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Office Clerk AOT, Bureau of Mental Health",CLERICAL ASSOCIATE,10251,2,Clerical & Administrative Support,,28965,43152,Annual,42-09 28th Street,MH - Assisted out Treatment,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-08-25T00:00:00.000,,2015-08-31T00:00:00.000,2019-07-30T00:00:00.000
209609,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"Office Clerk AOT, Bureau of Mental Health",CLERICAL ASSOCIATE,10251,2,Clerical & Administrative Support,,28965,43152,Annual,42-09 28th Street,MH - Assisted out Treatment,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-08-25T00:00:00.000,,2015-08-31T00:00:00.000,2019-07-30T00:00:00.000
210312,DEPT OF INFO TECH & TELECOMM,Internal,1,311 Call Center Manager,ADM MANAGER-NON-MGRL FRM M1/M2,1002C,0,Community & Business Services,F,64000,71000,Annual,59 Maiden Lane,311 Operations,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-09-02T00:00:00.000,,2015-09-02T00:00:00.000,2019-07-30T00:00:00.000
219112,NYC HOUSING AUTHORITY,Internal,1,MAINTENANCE WORKER,MAINTENANCE WORKER,90698,0,Maintenance & Operations,,51907.68,54580.32,Annual,Manhattan Floating Staff,Manhattan Property Management,NYCHA has no residency requirements.,2016-01-25T00:00:00.000,,2016-01-25T00:00:00.000,2019-07-30T00:00:00.000
219112,NYC HOUSING AUTHORITY,External,1,MAINTENANCE WORKER,MAINTENANCE WORKER,90698,0,Maintenance & Operations,,51907.68,54580.32,Annual,Manhattan Floating Staff,Manhattan Property Management,NYCHA has no residency requirements.,2016-01-25T00:00:00.000,,2016-01-25T00:00:00.000,2019-07-30T00:00:00.000
221045,NYC EMPLOYEES RETIREMENT SYS,External,1,CERTIFIED IT ADMINISTRATOR (WAN),CERT. IT ADMINISTRATOR WAN,13642,4,Information Technology & Telecommunications,,89383,134914,Annual,"335 Adams Street, Brooklyn Ny",Executive Management,New York City Residency is not required for this position,2015-10-30T00:00:00.000,,2015-10-30T00:00:00.000,2019-07-30T00:00:00.000
221045,NYC EMPLOYEES RETIREMENT SYS,Internal,1,CERTIFIED IT ADMINISTRATOR (WAN),CERT. IT ADMINISTRATOR WAN,13642,4,Information Technology & Telecommunications,,89383,134914,Annual,"335 Adams Street, Brooklyn Ny",Executive Management,New York City Residency is not required for this position,2015-10-30T00:00:00.000,,2015-10-30T00:00:00.000,2019-07-30T00:00:00.000
226044,DEPT OF INFO TECH & TELECOMM,Internal,1,Payroll Data Associate,CLERICAL ASSOCIATE,10251,3,Clerical & Administrative Support,,32888,50000,Annual,75 Park Place New York Ny,Human Resources,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-12-21T00:00:00.000,,2015-12-21T00:00:00.000,2019-07-30T00:00:00.000
226045,DEPT OF INFO TECH & TELECOMM,Internal,1,Senior Civil Service Advisor,ASSOCIATE STAFF ANALYST,12627,0,Clerical & Administrative Support Policy & Analysis,F,62260,92704,Annual,75 Park Place New York Ny,Human Resources,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2015-12-17T00:00:00.000,,2015-12-17T00:00:00.000,2019-07-30T00:00:00.000
228550,ADMIN FOR CHILDREN'S SVCS,External,6,Director of Senior Practice Consultation,ADMINISTRATIVE DIRECTOR OF SOC,10056,M2,Social Services,F,58675,95000,Annual,"150 William Street, New York N",Dpty Comm Fmly Prmncy Svcs-Fps,New York City Residency is not required for this position,2016-01-22T00:00:00.000,,2016-09-30T00:00:00.000,2019-07-30T00:00:00.000
228550,ADMIN FOR CHILDREN'S SVCS,Internal,6,Director of Senior Practice Consultation,ADMINISTRATIVE DIRECTOR OF SOC,10056,M2,Social Services,F,58675,95000,Annual,"150 William Street, New York N",Dpty Comm Fmly Prmncy Svcs-Fps,New York City Residency is not required for this position,2016-01-22T00:00:00.000,,2016-09-30T00:00:00.000,2019-07-30T00:00:00.000
229124,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"HIV Program Associate, Bureau of STD Prevention and Control",SUPERVISING PUBLIC HEALTH ADVI,51193,0,Health,F,48900,69042,Annual,42-09 28th Street,STI Administration,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2016-01-21T00:00:00.000,,2016-02-03T00:00:00.000,2019-07-30T00:00:00.000
229124,DEPT OF HEALTH/MENTAL HYGIENE,External,1,"HIV Program Associate, Bureau of STD Prevention and Control",SUPERVISING PUBLIC HEALTH ADVI,51193,0,Health,F,48900,69042,Annual,42-09 28th Street,STI Administration,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",2016-01-21T00:00:00.000,,2016-02-03T00:00:00.000,2019-07-30T00:00:00.000
